Date,#,Venue,Cat Herder,Type,Speaker 1, Topic 1,Speaker 2, Topic 2,Sponsors,A/V Support,Type Context
OCT 2022,9,SZ,Evan Porter,,Open Forum,Fiona Tech,,,"Forestry,silverorange,Binary Star,Torq IT","",""
SEP 2022,20,SZ,Evan Porter,,Mark Wright,Deno and the Rise of Edge Computing,,,"Forestry,silverorange,Binary Star,Torq IT","",""
AUG 2022,15,SZ,Evan Porter,,Chris Macrae,Progressive Webapps,,,"Forestry,silverorange,Binary Star,Torq IT","",""
JUN 2022,14,SZ,Evan Porter,,Michael Easter,Project Loom,,,"Forestry,silverorange,Binary Star,Torq IT","",""
MAY 2022,20,V,Ron Myers,,Gordie Noye,Blockchain,,,"Forestry,silverorange,Binary Star,Torq IT","Ron Myers",""
APR 2022,33,V,Ron Myers,,Sam Arnold,Influx DB,,,"Forestry,silverorange,Binary Star,Torq IT","Ron Myers",""
MAR 2022,9,V,Ron Myers,L,,Lighting Talks,,,"Forestry,silverorange,Binary Star,Torq IT","Ron Myers","Bob Shand,Michael Gauthier,Ron Myers"
FEB 2022,15,V,Ron Myers,,James O'Halloran,TinaCMS,,,"Forestry,silverorange,Binary Star,Torq IT","Ron Myers",
JAN 2022,31,V,Nolan Phillips,,Steven Baker,xUnit Pattern,,,"Forestry,silverorange,Binary Star",,
NOV 2021,18,SZ,Evan Porter,,Matt Duffy,Cryptography,,,"Forestry,silverorange,Binary Star",,
OCT 2021,18,SZ,Michael Easter,L,,Lightning Talks,,,"Forestry,silverorange,Binary Star",,"Michael Easter,Evan Theriault,Michael Gauthier,Ron Myers,Bob Shand,Nolan Phillips"
SEP 2021,17,SZ,Michael Gauthier,,Jordan Patterson,Kubernetes,,,"Forestry,silverorange,Binary Star",,""
AUG 2021,15,SZ,Nolan Phillips,L,,Lightning Talks,,,"Forestry,silverorange,Binary Star",,"Evan Theriault,Bob Shand,Logan Anderson"
JUN 2021,10,V,Michael Easter,,Open Forum,Fad vs Revolution,,,"Forestry,silverorange,Binary Star",,
MAY 2021,16,V,Evan Porter,,Dustin Sparks,Flutter,,,"Forestry,silverorange,Binary Star",,
APR 2021,6,V,Evan Porter,,Open Forum,,,,"Forestry,silverorange,Binary Star",,
MAR 2021,13,V,Michael Easter,,Josh Biggley,Observability,,,"Forestry,silverorange,Binary Star",,
FEB 2021,15,V,Michael Easter,,Michael Easter,Rust,Bob Shand,iOS App Clips,"Forestry,silverorange,Binary Star",,
JAN 2021,12,V,Michael Easter,,Open Forum,Learning Tech,,,"Forestry,silverorange,Binary Star",,
NOV 2020,10,V,Michael Easter,,Matt Duffy,Ethics,,,"Forestry,silverorange,Binary Star",,
OCT 2020,10,V,Evan Porter,L,,Lightning Talks,,,"Forestry,silverorange,Binary Star",,"Nolan Phillips,Evan Theriault,Bob Shand,Andrew Reid"
SEP 2020,10,V,Evan Porter,L,,Lightning Talks,,,"Forestry,silverorange,Binary Star",,"Evan Theriault,Chris Macrae,Bob Shand"
JUL 2020,14,V,Evan Porter,L,,Lightning Talks,,,"Forestry,silverorange,Binary Star",,"Evan Theriault,Paul Maxan,Bob Shand,Evan Porter"
JUN 2020,12,V,Evan Porter,,Chris Macrae,Nuke Build,Evan Porter,Remote Work,"Forestry,silverorange,Binary Star",,
MAY 2020,15,V,Evan Porter,,Evan Porter,Python Tools,,,"Forestry,silverorange,Binary Star",,
APR 2020,16,V,Evan Porter,,Matt Duffy,Pandemic Hangout,,,"Forestry,silverorange,Binary Star",,
MAR 2020,7,SZ,Evan Porter,,Nolan Phillips,OO the JS Way,,,"Forestry,silverorange,Binary Star",,
FEB 2020,16,SZ,Evan Porter,,Jeremy Noonan,Torq Specs,,,"Forestry,silverorange,Binary Star",,
JAN 2020,21,SZ,Evan Porter,,J.B. Rainsberger,Evolutionary Design,,,"Forestry,silverorange,Binary Star",,
NOV 2019,23,SZ,Nolan Phillips,,Bob Shand,iOS 13,Nolan Phillips,GitHub actions,"Forestry,silverorange,Binary Star",,
OCT 2019,19,SZ,Nolan Phillips,,Scott Gallant,Future of CMS,,,"Forestry,silverorange,Binary Star",,
SEP 2019,24,SZ,Michael Easter,L,,Lightning Talks,,,"Forestry,silverorange,Binary Star",,"Bob Shand,Michael Gauthier,Nolan Phillips,Finn Lidbetter,Lujain Asraf/Ala'a Emad,Chronic Twitch"
AUG 2019,20,SZ,Evan Porter,,Jordan Patterson,Raspberry Pi Arcade,,,"Forestry,silverorange,Binary Star",,
JUN 2019,25,SZ,Michael Easter,,Matt Duffy,Adapter Pattern,,,"Forestry,silverorange,Binary Star",,
MAY 2019,26,SZ,Nolan Phillips,,Fred Campos,GraphQL,,,"Forestry,silverorange,Binary Star",,
APR 2019,29,SZ,Michael Gauthier,L,,Lightning Talks,,,"Forestry,silverorange,Binary Star",,"Bob Shand,Michael Gauthier,Fred Campos,Encourage Family App(?)"
MAR 2019,31,SZ,Nolan Phillips,,Farzad Sedghipour,Service Design,,,"Forestry,silverorange,Binary Star",,
FEB 2019,41,SZ,Nolan Phillips,,Mathew Larade,Machine Learning,Bob Shand,Text Files,"Forestry,silverorange,Binary Star",,
JAN 2019,21,SZ,Evan Porter,L,,Lightning Talks 1, ,Lightning Talks 2,"Forestry,silverorange,Binary Star",,"Paul Maxan,Nolan Phillips,Michael Gauthier,Jordan Patterson,J.B.,Mark Wright,James O'Holloran"
NOV 2018,15,SZ,Michael Easter,L,,Lightning Talks 1, ,Lightning Talks 2,"Forestry,silverorange,Binary Star,Michael Easter",,"Bob Shand,Evan Porter,Michael Gauthier,Jordan Patterson,Evan Theriault,Paul Maxan"
OCT 2018,31,SZ,Michael Easter,,Bob Shand,Apple MDM,Paul Maxan,Inmarsat-C II,"Forestry,silverorange,Binary Star,Michael Easter",,
SEP 2018,44,SZ,Michael Easter,,Carol Mayne,Open Data Portal,Sean Whalley,Education Data,"Forestry,silverorange,Binary Star,Michael Easter",,
AUG 2018,21,SZ,Evan Porter,L,Lightning Talks 1,,Lightning Talks 2,,"Forestry, silverorange, Binary Star",,"Michael Easter,Bob Shand,Nolan Phillips,Frank Yu,,Paul Maxan,Dave Goddard,Jordan Patterson"
JUN 2018,22,SZ,Evan Porter,,Bob Shand,AR/VR,Chris Macrae,Stencil JS,"Forestry, silverorange, Binary Star",,
MAY 2018,26,SZ,Evan Porter,,Sean Whalley,Firebase,Paul Maxan,Inmarsat-C I,"Forestry, silverorange, Binary Star",,
APR 2018,27,SZ,Evan Porter,,Pierre Bassaler,EU GDPR,Tim Garrity,Elections PEI,"Forestry, silverorange, Binary Star",,
MAR 2018,10,SZ,Matt Duffy,,Matt Duffy,Unpopular Opinions,,,"Forestry, silverorange, Binary Star",,
FEB 2018,24,SZ,Matt Duffy,L,,Lightning Talks 1, ,Lightning Talks 2,"Forestry, silverorange, Binary Star",,"Michael Gauthier,Bob Shand,Sean MacKay,Matt Duffy,Chris Macrae,Jordan Patterson"
JAN 2018,24,SZ,Matt Duffy,,James O'Halloran,Miner Meltdown,Sean Whalley,Hugo,"Forestry, silverorange, Binary Star",,
NOV 2017,30,SZ,Evan Porter,P,,Hiring and Recruitment Panel,,,"Forestry, silverorange, Binary Star",,"Dustin Sparks, Jordan Patterson, Michael Gauthier, Ian Morse, Patrick Charles, Wendy MacIntyre"
OCT 2017,19,SZ,Evan Porter,,Chris Macrae,The Modern Website,Jordan Patterson,Showing Us Some Stuff in Docker,"Forestry, silverorange, Binary Star",,
SEP 2017,20,SZ,Evan Porter,,Michael Easter,Java 9 Modules,Sean Whalley,Ergonomics,Binary Star,,
JUN 2017,23,SZ,Michael Gauthier,,Ricardo Angel,Raspberry Pi,Jordan Patterson,Docker Compose,Binary Star,,
MAY 2017,26,SZ,Michael Gauthier,,Ron Myers,TypeScript,Matt Duffy,Effective Teams,Binary Star,,
APR 2017,20,SZ,Nolan Phillips,,Jordan Patterson,Docker,Evan Porter,Django,Binary Star,,
MAR 2017,27,SZ,Nolan Phillips,,Jim Murphy,AWS,Ross Evans,Machine Learning,Binary Star,,
JAN 2017,17,SZ,Michael Easter,,Suhaib Qaiser,Angular JS,,,Binary Star,ScreenScape Networks,
NOV 2016,25,SZ,Michael Easter,,Tracy Wood,IT Shared Services,Kody Duncan,Web Experience Toolkit,Binary Star,,
OCT 2016,23,SZ,Mike Berger,,Jordan Patterson,Intro to AWS w/ EC2 and RDS,Ifo Ikede,CI and Github,Binary Star,,
SEP 2016,28,SZ,Evan Porter,,Sean Whalley,Deleting Code for Fun and Profit,Michael Easter,A Random Walk Down Presentation Street,Binary Star,,
AUG 2016,26,SZ,Sean Whalley,,Evan Porter,Conferences Recap,Matt Duffy/Michael Easter,Refactoring,"Binary Star,Jetbrains",,
JUN 2016,29,SZ,Sean Whalley,,Matt Duffy,Pain-Driven Development,Nolan Phillips,JavaScript 2,"Startup Zone,Binary Star,JetBrains",,
MAY 2016,22,MCC,Michael Easter,,Matt Duffy,Software Math,Open Forum,Show and Tell,"Binary Star,JetBrains",ScreenScape Networks,
APR 2016,31,MCC,Evan Porter,,Michael Dunleavy,Startup Legals 101,Michael Gauthier,Web Security using TLS,"Binary Star,JetBrains",Binary Star,
MAR 2016,29,MCC,Evan Porter,,Jeff Bowser,Additive Manufacturing,Steve Buss,SolidWorks 3D Modeling,"Binary Star,JetBrains",ScreenScape Networks,
FEB 2016,43,MCC,Evan Porter,,Nolan Phillips,OO the JS Way,Mike Gauthier,Distributed Computing for Web Applications,"BinaryStar,JetBrains",ScreenScape Networks,
JAN 2016,30,MCC,Matt Duffy,,Ross Evans,Web application security,J.B. Rainsberger/Bob Shand,Debugging Interactions/Fastlane Tools,Binary Star,ScreenScape Networks,
DEC 2015,23,MCC,Matt Duffy,,Matt Duffy,Engineers PEI Robotics Team,Derek Campbell,Makerspace,Binary Star,,
NOV 2015,7,CP,Matt Duffy,,Kooperman,supporting local arts,,,,,
OCT 2015,22,HC,Derek Campbell,L, ,Lightning, ,Lightning,"Derek Campbell,JB Rainsberger,Collide Conf,JetBrains",ScreenScape Networks,"Matt Duffy,Evan Porter,Christian Southgate, JB Rainsberger"
SEP 2015,38,CYC,Derek Campbell,,Matt Duffy,Cryptography,Open Forum,Crypto/Security,"Binary Star,JetBrains,ScreenScape",ScreenScape Networks,
AUG 2015,36,CYC,Derek Campbell,,Michael Easter,Open Data,Open Forum,Open Data,"Binary Star,JetBrains",ScreenScape Networks,
JUL 2015,17,LEG,Sean Whalley,,Mark Wright,Radium,Kyron Stubbs,Play,"Binary Star,JetBrains",ScreenScape Networks,
JUN 2015,33,LEG,Sean Whalley,,Christian Southgate,OS Quadcopter,Nolan Phillips,ReactJS,"Binary Star,JetBrains",ScreenScape Networks,
MAY 2015,18,LEG,Sean Whalley,,Sean Whalley,Mob Programming,,,"Sean Whalley,Binary Star,JetBrains",ScreenScape Networks,
APR 2015,31,LEG,Michael Easter,,Derek Campbell,Dev Tools,Ryan Palmer,Travis CI,"Michael Easter,Binary Star,JetBrains",ScreenScape Networks,
MAR 2015,25,LEG,Michael Easter,,Matt Duffy,Arduino,,,"Michael Easter,Binary Star,JetBrains",ScreenScape Networks,
FEB 2015,26,LEG,Michael Easter,,Evan Porter,Clojure,Michael Easter,Java 8 Streams,"Michael Easter,Binary Star,JetBrains",ScreenScape Networks,
OCT 2014,14,QSC,Dustin Sparks,,,Hands-on Code Golf #2,,Open Forum,Binary Star,,
SEP 2014,11,QSC,Michael Easter,,,Hands-on Code Golf #1,,Open Forum,Michael Easter,,
AUG 2014,8,OH,Steven Baker,,Michael Easter,Code Golf,Derek Campbell,Elixir,?,,
JUN 2014,19,QSC,,,Ryan Palmer,Microcontroller Arduino,Matt Duffy,Hexagonal Architecture,?,,
MAY 2014,16,SC,,,?,Agile Related Discussion,?,?,?,,
APR 2014,15,QSC,,,Dustin Sparks,Agile Fundamentals,Steven Baker,Agile Fundamentals,BinaryStar,,
FEB 2014,14,SC,,,JB Rainsberger,"TDD,Estimate Algebra",?,?,?,,
JAN 2014,19,QSC,Dustin Sparks,,Bob Shand,Beacons,Sean Whalley,CRC Cards,Binary Star,,
NOV 2013,16,QSC,,,Sean Whalley,Learn a new language,"Derek Campbell,Steven Baker","CI,Solid",Binary Star,,
OCT 2013,24,QSC,,,Luke Taylor,Vagrant,Maureen Kerr,Teaching Kids to Code,Binary Star,,
JUN 2013,12,QSC,Dustin Sparks,,Dustin Sparks,Working as Independent,?,?,Binary Star,,
MAY 2013,13,QSC,Michael Easter,,Michael Easter,Gradle,Open Forum,Type Systems,Michael Easter,,
APR 2013,7,QSC,Dustin Sparks,,,Hands-On Code Kata,,,Binary Star,,
MAR 2013,9,QSC,Dustin Sparks,,Dustin Sparks,Review GoInstant Hackathon,,Hands-on Code Kata,Binary Star,,
FEB 2013,12,QSC,Dustin Sparks,,,Hands-on Code Kata,,,Binary Star,,
JAN 2013,11,QSC,Dustin Sparks,,Michael Easter,Code Kata,,,Binary Star,,
DEC 2012,11,QSC,Dustin Sparks,,Dustin Sparks,Mini Code Retreat,,,Binary Star,,
NOV 2012,9,QSC,Dustin Sparks,,Chris Lee,DevOps,,,Binary Star,,
OCT 2012,11,QSC,Dustin Sparks,,Gordie Noye,Node.js,William McMaster,PS3 Cluster,Binary Star,,
SEP 2012,7,QSC,Dustin Sparks,,,,Open Forum,,Binary Star,,
JUL 2012,12,QSC,Dustin Sparks,,Bob Shand,Open Street Map,,,Binary Star,,
MAY 2012,15,QSC,Dustin Sparks,,Michael Easter,Groovy,,,Binary Star,,
APR 2012,17,QSC,Dustin Sparks,,,,,,Binary Star,,
